id_persona,nombre,paterno,materno,fecha_ingreso,celular,fotografia,correo_electronico,es_dueño,es_chofer,es_cliente
AC8031,Uriel,Mendoza,Arias,2018-08-19,6642762308,9KWMZGC0,mendoza.uriel@gmail.com,Si,No,No
AS0541,Uriel,Mendoza,Arias,2018-08-20,8590236506,4ZSHRIC9,mendoza.uriel@gmail.com,No,Si,No
AX7193,Uriel,Andrade,Arias,2018-02-27,7490459803,6PMEHWU3,andrade.uriel@gmail.com,No,Si,No
AY2325,Saul,Andrade,Arias,2018-08-14,3779520924,9CFNLYM2,andrade.saul@gmail.com,No,No,Si
BG4348,Armando,Mendoza,Arias,2018-03-16,8677031503,0IISJQL9,mendoza.armando@gmail.com,Si,Si,Si
BG6582,Uriel,Mendoza,Arias,2018-08-16,7034155500,2ETZJWB6,mendoza.uriel@gmail.com,Si,Si,Si
BH2134,Uriel,Castro,Gallego,2018-06-19,9895379668,8PTUSNG9,castro.uriel@gmail.com,No,No,Si
BV8537,Uriel,Mendoza,Sanz,2018-07-01,2980453640,7UFSBLB2,mendoza.uriel@gmail.com,No,No,Si
BV9335,Raul,Andrade,Arias,2018-06-15,6451913901,8UNDAYQ4,andrade.raul@gmail.com,No,Si,No
BZ2551,Saul,Uribe,Arias,2018-12-22,2569232620,6BBSMHU5,uribe.saul@gmail.com,Si,No,No
CA6614,Saul,Perez,Arias,2018-12-04,8049402033,1RUNAAL2,perez.saul@gmail.com,No,Si,Si
CN9788,Miguel,Andrade,Sanz,2018-12-06,5516652391,5DXSMXT2,andrade.miguel@gmail.com,Si,Si,No
CU0440,Saul,Andrade,Sanz,2018-12-03,3682812294,1GYHZNY8,andrade.saul@gmail.com,Si,No,Si
CW5472,Armando,Mendoza,Sanz,2018-07-08,2497131132,5IGVHJI4,mendoza.armando@gmail.com,No,Si,No
CX4047,Saul,Andrade,Sanz,2018-07-06,3441964544,1PULOXQ7,andrade.saul@gmail.com,No,No,No
CY2961,Uriel,Andrade,Sanz,2018-02-14,1260257531,3KSPELZ5,andrade.uriel@gmail.com,No,No,No
CZ0047,Uriel,Castro,Arias,2018-09-25,8310937513,2YUPJDI1,castro.uriel@gmail.com,Si,No,Si
DE8704,Uriel,Castro,Gallego,2018-05-20,8187964235,1SAUZLP3,castro.uriel@gmail.com,Si,No,No
DJ1528,Uriel,Mendoza,Sanz,2018-09-19,9838202705,3STPUKD8,mendoza.uriel@gmail.com,Si,No,No
DN2194,Raul,Perez,Sanz,2018-10-15,4727150756,4CZKJXW2,perez.raul@gmail.com,Si,No,Si
DN5230,Uriel,Andrade,Guerrero,2018-02-13,2670403299,2KQMTXI3,andrade.uriel@gmail.com,Si,No,No
DQ0964,Raul,Uribe,Sanz,2018-05-04,9742635734,5QGQAUD4,uribe.raul@gmail.com,No,Si,No
DR3112,Uriel,Mendoza,Arias,2018-12-19,4537092233,5YETMRN2,mendoza.uriel@gmail.com,No,No,Si
DR9754,Saul,Mendoza,Sanz,2017-12-20,9019662131,7MUMIFW0,mendoza.saul@gmail.com,No,No,No
DS9090,Uriel,Andrade,Arias,2018-12-06,7947456153,0JKHALJ3,andrade.uriel@gmail.com,No,No,Si
DT1509,Raul,Uribe,Arias,2018-07-12,4945327351,3JATVGQ7,uribe.raul@gmail.com,Si,No,No
DW1093,Uriel,Perez,Arias,2018-04-10,7564809728,0RJHODR7,perez.uriel@gmail.com,No,Si,Si
DW4781,Saul,Mendoza,Sanz,2018-08-16,8858421311,6NYITJT1,mendoza.saul@gmail.com,Si,Si,Si
DX7746,Saul,Mendoza,Arias,2018-07-06,5743810812,5HJBORK8,mendoza.saul@gmail.com,Si,Si,Si
DY9864,Saul,Mendoza,Sanz,2018-12-23,1753504112,1LSXCSG8,mendoza.saul@gmail.com,No,Si,No
EB0011,Uriel,Mendoza,Sanz,2018-10-24,8043304454,3BUXZYQ6,mendoza.uriel@gmail.com,No,No,No
EH4831,Saul,Mendoza,Gallego,2018-10-19,1738127713,6SRAATC6,mendoza.saul@gmail.com,Si,No,No
